TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
13,311671460,43.0801467,-76.1733371,100000,1,1,-1,4
13,1372665589,43.076373,-76.1823715,999,-1,1,-1,4
13,1582409757,43.0508099,-76.2429228,999,-1,1,-1,4
14,944723275,43.0365458,-76.134209,100000,41,2,1,4
14,1403992886,43.0317668,-76.0488726,100000,43,1,-1,4
14,968896511,43.0376642,-76.1332935,100000,13,2,1,4
14,1582409757,43.0507742,-76.2427073,999,-1,1,-1,4
14,311671460,43.0800096,-76.1732192,100000,1,1,-1,4
14,1372665589,43.076211,-76.1823763,999,-1,1,-1,4
14,1692686749,43.0364193,-76.1297105,100000,13,1,-1,4
14,1021262212,43.0367603,-76.1340058,100000,41,2,1,4
15,944723275,43.0364683,-76.134403,100000,41,1,-1,4
15,1021262212,43.0367259,-76.133765,100000,41,2,1,4
15,1372665589,43.076049,-76.182381,999,-1,1,-1,4
15,1403992886,43.0317388,-76.0490901,100000,43,1,-1,4
15,1692686749,43.0363084,-76.1295494,100000,13,1,-1,4
15,968896511,43.0375082,-76.1331709,100000,13,2,1,4
15,311671460,43.0798726,-76.1731013,100000,1,1,-1,4
15,1582409757,43.0507385,-76.2424918,999,-1,1,-1,4
16,1692686749,43.0361974,-76.1293885,100000,13,1,-1,4
16,944723275,43.0363907,-76.1345969,100000,41,1,-1,4
16,1403992886,43.0317107,-76.0493076,100000,43,1,-1,4
16,1582409757,43.0507028,-76.2422763,999,-1,1,-1,4
16,1372665589,43.075887,-76.1823858,999,-1,1,-1,4
16,311671460,43.0797355,-76.1729835,100000,1,1,-1,4
16,968896511,43.0373518,-76.1330494,100000,13,2,1,4
16,1021262212,43.0366911,-76.1335244,100000,41,2,1,4
17,944723275,43.0363131,-76.1347908,100000,41,1,-1,4
17,1692686749,43.0360862,-76.1292278,100000,13,1,-1,4
17,1098650421,43.037107,-76.1320896,100000,41,1,-1,4
17,968896511,43.0371942,-76.1329307,100000,13,2,1,4
17,311671460,43.0795984,-76.1728658,100000,1,1,-1,4
17,1021262212,43.0366561,-76.1332838,100000,41,2,1,4
17,1403992886,43.0316826,-76.0495251,100000,43,1,-1,4
17,1582409757,43.050667,-76.2420608,999,-1,1,-1,4
17,1372665589,43.075725,-76.1823906,999,-1,1,-1,4
18,1692686749,43.0359749,-76.1290673,100000,13,1,-1,4
18,1372665589,43.0755631,-76.1823954,999,-1,1,-1,4
18,1021262212,43.0366205,-76.1330433,100000,41,2,1,4
18,1582409757,43.0506313,-76.2418453,999,-1,1,-1,4
18,944723275,43.0362354,-76.1349847,100000,41,1,-1,4
18,1403992886,43.0316546,-76.0497427,100000,43,1,-1,4
18,1098650421,43.0369504,-76.1320334,100000,41,1,-1,4
18,311671460,43.0794612,-76.1727481,100000,1,1,-1,4
18,968896511,43.0370354,-76.132815,100000,13,2,1,4
19,1403992886,43.0316265,-76.0499602,100000,43,1,-1,4
19,311671460,43.079324,-76.1726305,100000,1,1,-1,4
19,1098650421,43.0367937,-76.1319772,100000,41,1,-1,4
19,1021262212,43.0365846,-76.1328031,100000,41,2,1,4
19,1692686749,43.0358635,-76.1289069,100000,13,1,-1,4
19,968896511,43.0368767,-76.1326994,100000,13,2,1,4
19,1582409757,43.0505955,-76.2416299,999,-1,1,-1,4
19,944723275,43.0361577,-76.1351785,100000,41,1,-1,4
19,1372665589,43.0754011,-76.1824002,999,-1,1,-1,4
20,1692686749,43.0357519,-76.1287468,100000,13,1,-1,4
20,968896511,43.0367168,-76.1325866,100000,13,2,1,4
20,1582409757,43.0505597,-76.2414144,999,-1,1,-1,4
20,1372665589,43.0752391,-76.1824049,999,-1,1,-1,4
20,1098650421,43.036673,-76.1317949,100000,41,2,1,4
20,1021262212,43.0365482,-76.132563,100000,41,2,1,4
20,311671460,43.0791868,-76.1725129,100000,1,1,-1,4
20,1403992886,43.0315984,-76.0501777,100000,43,1,-1,4
20,944723275,43.0360799,-76.1353722,100000,41,1,-1,4
21,968896511,43.0365563,-76.1324753,100000,13,2,1,4
21,1098650421,43.0365512,-76.1316139,100000,41,2,1,4
21,311671460,43.0790496,-76.1723953,100000,1,1,-1,4
21,1559683730,43.0371448,-76.1348452,100000,41,1,-1,4
21,944723275,43.0360021,-76.135566,100000,41,1,-1,4
21,1021262212,43.0365116,-76.132323,100000,41,2,1,4
21,1883671650,43.0778719,-76.1836866,999,-1,1,-1,4
21,1372665589,43.0750771,-76.1824097,999,-1,1,-1,4
21,1403992886,43.0315703,-76.0503952,100000,43,1,-1,4
21,1692686749,43.0356402,-76.1285868,100000,13,1,-1,4
21,1582409757,43.0505239,-76.2411989,999,-1,1,-1,4
22,1582409757,43.0504881,-76.2409835,100000,22,1,-1,4
22,1021262212,43.0364746,-76.132083,100000,41,2,1,4
22,1692686749,43.0355283,-76.128427,100000,41,1,-1,4
22,968896511,43.0363954,-76.1324495,100000,13,1,-1,4
22,944723275,43.0359242,-76.1357596,100000,41,1,-1,4
22,1559683730,43.0370641,-76.1350368,100000,41,1,-1,4
22,1372665589,43.0749151,-76.1824144,999,-1,1,-1,4
22,1098650421,43.0364284,-76.1314344,100000,41,2,1,4
22,1403992886,43.0315422,-76.0506127,100000,43,1,-1,4
22,311671460,43.0789124,-76.1722779,100000,1,1,-1,4
22,1883671650,43.0777337,-76.1835712,999,-1,1,-1,4
23,1559683730,43.0369834,-76.1352283,100000,41,1,-1,4
23,1098650421,43.0363045,-76.1312562,100000,41,2,1,4
23,1883671650,43.0775954,-76.1834559,999,-1,1,-1,4
23,944723275,43.0358463,-76.1359533,100000,41,1,-1,4
23,968896511,43.0362345,-76.1324238,100000,13,1,-1,4
23,1372665589,43.0747531,-76.1824192,999,-1,1,-1,4
23,1021262212,43.0364371,-76.1318431,100000,41,2,1,4
23,311671460,43.0787751,-76.1721605,100000,1,1,-1,4
23,1692686749,43.0354163,-76.1282675,100000,41,1,-1,4
23,1403992886,43.0315141,-76.0508302,100000,43,1,-1,4
23,1582409757,43.0504522,-76.240768,100000,22,1,-1,4
24,1883671650,43.0774572,-76.1833406,999,-1,1,-1,4
24,1582409757,43.0504164,-76.2405525,100000,22,1,-1,4
24,1372665589,43.0745911,-76.1824239,999,-1,1,-1,4
24,311671460,43.0786378,-76.1720431,100000,1,1,-1,4
24,1559683730,43.0369026,-76.1354197,100000,41,1,-1,4
24,1392341498,43.0375086,-76.1305079,100000,41,1,-1,4
24,1692686749,43.0353041,-76.1281081,100000,41,1,-1,4
24,968896511,43.0360736,-76.1323981,100000,13,1,-1,4
24,944723275,43.0357682,-76.1361469,100000,13,1,-1,4
24,1098650421,43.0361794,-76.1310796,100000,41,2,1,4
24,1403992886,43.0314859,-76.0510477,100000,43,1,-1,4
24,1021262212,43.0363993,-76.1316034,100000,41,2,1,4
25,944723275,43.0356902,-76.1363404,100000,13,1,-1,4
25,1392341498,43.0374449,-76.130711,100000,41,1,-1,4
25,1692686749,43.0351918,-76.1279489,100000,41,1,-1,4
25,1883671650,43.0773189,-76.1832254,999,-1,1,-1,4
25,1582409757,43.0503805,-76.2403371,100000,22,1,-1,4
25,1559683730,43.0368217,-76.1356112,100000,41,1,-1,4
25,1372665589,43.0744291,-76.1824287,999,-1,1,-1,4
25,311671460,43.0785005,-76.1719258,100000,1,1,-1,4
25,1098650421,43.0360544,-76.1309029,100000,41,2,1,4
25,968896511,43.0359127,-76.1323724,100000,13,1,-1,4
25,1021262212,43.0363609,-76.1313637,100000,41,2,1,4
25,1403992886,43.0314578,-76.0512652,100000,43,1,-1,4
26,1392341498,43.0373811,-76.130914,100000,41,1,-1,4
26,1582409757,43.0503447,-76.2401217,100000,22,1,-1,4
26,417890504,43.0774881,-76.1796152,999,-1,1,-1,4
26,1403992886,43.0314296,-76.0514827,100000,43,1,-1,4
26,968896511,43.0357517,-76.1323468,100000,13,1,-1,4
26,1098650421,43.0359282,-76.1307277,100000,41,2,1,4
26,944723275,43.0356121,-76.1365339,100000,13,1,-1,4
26,1021262212,43.0363222,-76.1311242,100000,41,2,1,4
26,1883671650,43.0771806,-76.1831102,999,-1,1,-1,4
26,311671460,43.0783632,-76.1718085,100000,1,1,-1,4
26,1372665589,43.0742672,-76.1824334,999,-1,1,-1,4
26,1559683730,43.0367408,-76.1358025,100000,41,1,-1,4
26,1692686749,43.0350793,-76.1277899,100000,41,1,-1,4
27,1392341498,43.0373172,-76.131117,100000,41,1,-1,4
27,1403992886,43.0314015,-76.0517002,100000,43,1,-1,4
27,1021262212,43.0362828,-76.1308848,100000,41,2,1,4
27,311671460,43.0782258,-76.1716913,100000,1,1,-1,4
27,968896511,43.0355908,-76.1323212,100000,13,1,-1,4
27,1098650421,43.0358009,-76.1305541,100000,41,2,1,4
27,417890504,43.0773296,-76.1796607,999,-1,1,-1,4
27,1559683730,43.0366598,-76.1359938,100000,13,1,-1,4
27,1692686749,43.0349667,-76.1276311,100000,41,1,-1,4
27,1446819700,43.0377499,-76.1302409,100000,41,1,-1,4
27,1582409757,43.0503088,-76.2399062,100000,22,1,-1,4
27,1372665589,43.0741052,-76.1824382,999,-1,1,-1,4
27,944723275,43.0355339,-76.1367274,100000,13,1,-1,4
27,1156754727,43.0776611,-76.1771001,100000,1,1,-1,4
27,1883671650,43.0770423,-76.1829951,999,-1,1,-1,4
28,417890504,43.077171,-76.1797062,999,-1,1,-1,4
28,1372665589,43.0739432,-76.1824429,999,-1,1,-1,4
28,1883671650,43.076904,-76.1828801,999,-1,1,-1,4
28,1692686749,43.0348539,-76.1274725,100000,41,1,-1,4
28,311671460,43.0780884,-76.1715742,100000,1,1,-1,4
28,1582409757,43.0502729,-76.2396908,100000,22,1,-1,4
28,1098650421,43.0356724,-76.1303821,100000,41,2,1,4
28,1392341498,43.0372533,-76.13132,100000,41,1,-1,4
28,1021262212,43.0362432,-76.1306455,100000,41,2,1,4
28,2141650363,43.038003,-76.1346801,100000,13,1,-1,4
28,968896511,43.0354298,-76.1322957,100000,13,1,-1,4
28,1559683730,43.0365788,-76.1361851,100000,13,1,-1,4
28,1156754727,43.0775572,-76.1769305,100000,1,1,-1,4
28,1403992886,43.0313733,-76.0519177,100000,43,1,-1,4
28,944723275,43.0354557,-76.1369208,100000,13,1,-1,4
28,1446819700,43.037589,-76.1302153,100000,41,1,-1,4
29,1559683730,43.0364977,-76.1363763,100000,13,1,-1,4
29,1098650421,43.0355144,-76.1303331,100000,41,1,-1,4
29,968896511,43.0352689,-76.1322702,100000,13,1,-1,4
29,1372665589,43.0737812,-76.1824476,999,-1,1,-1,4
29,2141650363,43.0378409,-76.1346772,100000,13,1,-1,4
29,1883671650,43.0767656,-76.1827651,999,-1,1,-1,4
29,1156754727,43.0774533,-76.1767609,100000,1,1,-1,4
29,1392341498,43.0371894,-76.131523,100000,41,1,-1,4
29,1021262212,43.0361306,-76.1304866,100000,41,1,-1,4
29,417890504,43.0770124,-76.1797515,999,-1,1,-1,4
29,1446819700,43.037428,-76.1301898,100000,41,1,-1,4
29,311671460,43.077951,-76.1714571,100000,1,1,-1,4
29,1692686749,43.034741,-76.1273141,100000,41,1,-1,4
29,944723275,43.0353774,-76.1371142,100000,13,1,-1,4
29,1582409757,43.0502369,-76.2394753,100000,22,1,-1,4
29,1403992886,43.0313451,-76.0521352,100000,43,1,-1,4
30,1559683730,43.0364165,-76.1365675,100000,13,1,-1,4
30,311671460,43.0778135,-76.17134,100000,1,1,-1,4
30,1446819700,43.0372671,-76.1301643,100000,41,1,-1,4
30,417890504,43.0768539,-76.1797969,999,-1,1,-1,4
30,1372665589,43.0736192,-76.1824524,999,-1,1,-1,4
30,1403992886,43.0313169,-76.0523527,100000,43,1,-1,4
30,1156754727,43.0773493,-76.1765914,100000,1,1,-1,4
30,1021262212,43.036018,-76.1303279,100000,41,1,-1,4
30,1392341498,43.0371254,-76.1317259,100000,13,1,-1,4
30,1098650421,43.0353564,-76.1302842,100000,41,1,-1,4
30,944723275,43.035299,-76.1373075,100000,13,1,-1,4
30,1692686749,43.0346279,-76.127156,100000,41,1,-1,4
30,2141650363,43.0376789,-76.1346742,100000,13,1,-1,4
30,1582409757,43.050201,-76.2392599,100000,22,1,-1,4
30,968896511,43.035108,-76.1322447,100000,13,1,-1,4
30,1883671650,43.0766272,-76.1826501,999,-1,1,-1,4
31,417890504,43.0766953,-76.1798422,999,-1,1,-1,4
31,1559683730,43.0363353,-76.1367586,100000,13,1,-1,4
31,1446819700,43.0371061,-76.1301389,100000,41,1,-1,4
31,1883671650,43.0764888,-76.1825352,999,-1,1,-1,4
31,1098650421,43.0351984,-76.1302353,100000,41,1,-1,4
31,1021262212,43.0359052,-76.1301693,100000,41,1,-1,4
31,1403992886,43.0312887,-76.0525702,100000,43,1,-1,4
31,968896511,43.034947,-76.1322193,100000,13,1,-1,4
31,1207601045,43.0368775,-76.1339603,100000,13,1,-1,4
31,1392341498,43.0370614,-76.1319288,100000,13,1,-1,4
31,311671460,43.077676,-76.1712231,100000,1,1,-1,4
31,1156754727,43.0772452,-76.176422,100000,1,1,-1,4
31,1692686749,43.0345147,-76.126998,100000,41,1,-1,4
31,1582409757,43.050165,-76.2390445,100000,22,1,-1,4
31,1372665589,43.0734572,-76.1824571,999,-1,1,-1,4
31,2141650363,43.0375169,-76.1346713,100000,13,1,-1,4
31,944723275,43.0352206,-76.1375008,100000,13,1,-1,4
32,2141650363,43.0373549,-76.1346683,100000,13,1,-1,4
32,1207601045,43.0367192,-76.1339135,100000,13,1,-1,4
32,1883671650,43.0763504,-76.1824204,999,-1,1,-1,4
32,1446819700,43.0369452,-76.1301135,100000,41,1,-1,4
32,968896511,43.0347861,-76.1321939,100000,13,1,-1,4
32,417890504,43.0765367,-76.1798875,999,-1,1,-1,4
32,1403992886,43.0312604,-76.0527877,100000,43,1,-1,4
32,1392341498,43.0369973,-76.1321317,100000,13,1,-1,4
32,1156754727,43.0771412,-76.1762526,100000,1,1,-1,4
32,1559683730,43.0362541,-76.1369497,100000,13,1,-1,4
32,1692686749,43.0344013,-76.1268402,100000,41,1,-1,4
32,944723275,43.0351421,-76.1376941,100000,13,1,-1,4
32,1021262212,43.0357923,-76.1300109,100000,41,1,-1,4
32,1372665589,43.0732952,-76.1824618,999,-1,1,-1,4
32,311671460,43.0775386,-76.1711061,100000,1,1,-1,4
32,1098650421,43.0350404,-76.1301865,100000,41,1,-1,4
32,1582409757,43.0501291,-76.2388291,100000,22,1,-1,4
32,1733441715,43.044198,-76.2595596,999,-1,1,-1,4
33,968896511,43.0346251,-76.1321685,100000,13,1,-1,4
33,944723275,43.0350636,-76.1378873,100000,13,1,-1,4
33,1883671650,43.0762119,-76.1823056,999,-1,1,-1,4
33,1372665589,43.0731332,-76.1824665,999,-1,1,-1,4
33,1207601045,43.0365608,-76.1338668,100000,13,1,-1,4
33,1446819700,43.0367842,-76.1300881,100000,41,1,-1,4
33,1733441715,43.044145,-76.2593508,999,-1,1,-1,4
33,2141650363,43.0371929,-76.1346654,100000,13,1,-1,4
33,417890504,43.0763781,-76.1799328,999,-1,1,-1,4
33,1582409757,43.0500931,-76.2386137,100000,22,1,-1,4
33,1392341498,43.0369332,-76.1323345,100000,13,1,-1,4
33,1098650421,43.0348824,-76.1301378,100000,41,1,-1,4
33,311671460,43.077401,-76.1709893,100000,1,1,-1,4
33,1692686749,43.0342877,-76.1266827,100000,41,1,-1,4
33,1021262212,43.0356792,-76.1298527,100000,41,1,-1,4
33,1559683730,43.0361727,-76.1371407,100000,13,1,-1,4
33,1156754727,43.0770371,-76.1760832,100000,1,1,-1,4
33,1403992886,43.0312322,-76.0530052,100000,43,1,-1,4
34,2141650363,43.0370309,-76.1346625,100000,13,1,-1,4
34,1446819700,43.0366233,-76.1300628,100000,41,1,-1,4
34,1692686749,43.034174,-76.1265254,100000,41,1,-1,4
34,1582409757,43.0500571,-76.2383983,100000,22,1,-1,4
34,1207601045,43.0364025,-76.1338202,100000,13,1,-1,4
34,1403992886,43.0312039,-76.0532226,100000,43,1,-1,4
34,1021262212,43.035566,-76.1296947,100000,41,1,-1,4
34,1392341498,43.036869,-76.1325373,100000,13,1,-1,4
34,311671460,43.0772635,-76.1708724,100000,1,1,-1,4
34,417890504,43.0762195,-76.179978,999,-1,1,-1,4
34,1156754727,43.0769329,-76.1759139,100000,1,1,-1,4
34,1098650421,43.0347243,-76.1300892,100000,41,1,-1,4
34,1372665589,43.0729713,-76.1824712,999,-1,1,-1,4
34,944723275,43.034985,-76.1380804,100000,13,1,-1,4
34,968896511,43.0344641,-76.1321432,100000,13,1,-1,4
34,1733441715,43.0440921,-76.259142,999,-1,1,-1,4
34,1559683730,43.0360913,-76.1373317,100000,13,1,-1,4
34,1883671650,43.0760734,-76.1821909,999,-1,1,-1,4
35,1156754727,43.0768287,-76.1757447,100000,1,1,-1,4
35,1392341498,43.0368048,-76.1327401,100000,13,1,-1,4
35,417890504,43.0760609,-76.1800232,999,-1,1,-1,4
35,1446819700,43.0364623,-76.1300375,100000,41,1,-1,4
35,1021262212,43.0354526,-76.1295369,100000,41,1,-1,4
35,1559683730,43.0360099,-76.1375227,100000,13,1,-1,4
35,311671460,43.0771259,-76.1707557,100000,1,1,-1,4
35,1883671650,43.0759349,-76.1820762,999,-1,1,-1,4
35,1582409757,43.0500211,-76.2381829,100000,22,1,-1,4
35,1733441715,43.0440391,-76.2589333,999,-1,1,-1,4
35,1372665589,43.0728093,-76.1824759,999,-1,1,-1,4
35,1207601045,43.0362441,-76.1337736,100000,13,1,-1,4
35,1403992886,43.0311757,-76.0534401,100000,43,1,-1,4
35,1098650421,43.0345662,-76.1300406,100000,41,1,-1,4
35,944723275,43.0349064,-76.1382735,100000,13,1,-1,4
35,968896511,43.0343032,-76.1321179,100000,13,1,-1,4
35,1692686749,43.0340601,-76.1263682,100000,41,1,-1,4
35,2141650363,43.0368689,-76.1346595,100000,13,1,-1,4
36,1883671650,43.0757964,-76.1819616,999,-1,1,-1,4
36,417890504,43.0759023,-76.1800683,999,-1,1,-1,4
36,1392341498,43.0367406,-76.1329429,100000,13,1,-1,4
36,1692686749,43.0339461,-76.1262113,100000,41,1,-1,4
36,1403992886,43.0311474,-76.0536576,100000,43,1,-1,4
36,1021262212,43.0353392,-76.1293792,100000,41,1,-1,4
36,944723275,43.0348277,-76.1384666,100000,13,1,-1,4
36,1559683730,43.0359283,-76.1377135,100000,13,1,-1,4
36,1582409757,43.0499851,-76.2379675,100000,22,1,-1,4
36,1446819700,43.0363013,-76.1300122,100000,41,1,-1,4
36,968896511,43.0341422,-76.1320927,100000,13,1,-1,4
36,311671460,43.0769883,-76.170639,100000,1,1,-1,4
36,1733441715,43.0439861,-76.2587245,999,-1,1,-1,4
36,2141650363,43.0367069,-76.1346566,100000,13,1,-1,4
36,1098650421,43.0344082,-76.1299921,100000,41,1,-1,4
36,1207601045,43.0360857,-76.1337271,100000,13,1,-1,4
36,1372665589,43.0726473,-76.1824806,999,-1,1,-1,4
36,1156754727,43.0767245,-76.1755755,100000,1,1,-1,4
37,1392341498,43.0366763,-76.1331456,100000,13,1,-1,4
37,944723275,43.0347489,-76.1386596,100000,13,1,-1,4
37,417890504,43.0757437,-76.1801134,999,-1,1,-1,4
37,1692686749,43.0338319,-76.1260547,100000,41,1,-1,4
37,1559683730,43.0358468,-76.1379044,100000,13,1,-1,4
37,1021262212,43.0352255,-76.1292218,100000,41,1,-1,4
37,1446819700,43.0361404,-76.129987,100000,41,1,-1,4
37,1098650421,43.0342501,-76.1299437,100000,41,1,-1,4
37,1883671650,43.0756578,-76.181847,999,-1,1,-1,4
37,1207601045,43.0359273,-76.1336807,100000,13,1,-1,4
37,1733441715,43.043933,-76.2585158,999,-1,1,-1,4
37,968896511,43.0339812,-76.1320675,100000,13,1,-1,4
37,1156754727,43.0766202,-76.1754063,100000,1,1,-1,4
37,2141650363,43.0365449,-76.1346537,100000,13,1,-1,4
37,1582409757,43.049949,-76.2377521,100000,22,1,-1,4
37,1372665589,43.0724853,-76.1824853,999,-1,1,-1,4
37,1403992886,43.0311191,-76.053875,100000,43,1,-1,4
37,311671460,43.0768507,-76.1705223,100000,1,1,-1,4
38,1692686749,43.0337175,-76.1258982,100000,41,1,-1,4
38,1446819700,43.0359794,-76.1299618,100000,41,1,-1,4
38,1156754727,43.0765159,-76.1752372,100000,1,1,-1,4
38,1883671650,43.0755192,-76.1817325,999,-1,1,-1,4
38,1733441715,43.04388,-76.2583071,999,-1,1,-1,4
38,2141650363,43.0363828,-76.1346508,100000,13,1,-1,4
38,1207601045,43.0357688,-76.1336344,100000,13,1,-1,4
38,1021262212,43.0351118,-76.1290645,100000,41,1,-1,4
38,968896511,43.0338203,-76.1320424,100000,13,1,-1,4
38,417890504,43.0755851,-76.1801585,999,-1,1,-1,4
38,1559683730,43.0357651,-76.1380952,100000,13,1,-1,4
38,311671460,43.076713,-76.1704057,100000,1,1,-1,4
38,1392341498,43.0366119,-76.1333483,100000,13,1,-1,4
38,1582409757,43.049913,-76.2375367,100000,22,1,-1,4
38,1372665589,43.0723233,-76.18249,999,-1,1,-1,4
38,1098650421,43.034092,-76.1298954,100000,41,1,-1,4
38,944723275,43.0346701,-76.1388526,100000,13,1,-1,4
38,1403992886,43.0310908,-76.0540925,100000,43,1,-1,4
39,1098650421,43.0339339,-76.1298471,100000,41,1,-1,4
39,1403992886,43.0310625,-76.05431,100000,43,1,-1,4
39,1207601045,43.0356104,-76.1335882,100000,13,1,-1,4
39,1156754727,43.0764115,-76.1750681,100000,1,1,-1,4
39,968896511,43.0336593,-76.1320173,100000,13,1,-1,4
39,1392341498,43.0365475,-76.133551,100000,13,1,-1,4
39,824628078,43.0378916,-76.134642,100000,13,1,-1,4
39,311671460,43.0765754,-76.1702892,100000,1,1,-1,4
39,1372665589,43.0721613,-76.1824947,999,-1,1,-1,4
39,417890504,43.0754264,-76.1802036,999,-1,1,-1,4
39,1582409757,43.0498769,-76.2373213,100000,22,1,-1,4
39,1883671650,43.0753806,-76.181618,999,-1,1,-1,4
39,2141650363,43.0362208,-76.1346479,100000,13,1,-1,4
39,1021262212,43.0349978,-76.1289074,100000,41,1,-1,4
39,1692686749,43.033603,-76.125742,100000,41,1,-1,4
39,944723275,43.0345912,-76.1390455,100000,13,1,-1,4
39,1733441715,43.0438269,-76.2580984,999,-1,1,-1,4
39,1559683730,43.0356834,-76.1382859,100000,13,1,-1,4
39,1446819700,43.0358184,-76.1299367,100000,13,1,-1,4
40,1403992886,43.0310342,-76.0545274,100000,43,1,-1,4
40,1559683730,43.0356016,-76.1384766,100000,13,1,-1,4
40,1883671650,43.075242,-76.1815036,999,-1,1,-1,4
40,1582409757,43.0498408,-76.2371059,100000,22,1,-1,4
40,1733441715,43.0437738,-76.2578897,999,-1,1,-1,4
40,1156754727,43.0763071,-76.1748991,100000,1,1,-1,4
40,968896511,43.0334983,-76.1319922,100000,13,1,-1,4
40,417890504,43.0752678,-76.1802486,999,-1,1,-1,4
40,1446819700,43.0356575,-76.1299115,100000,13,1,-1,4
40,1372665589,43.0719993,-76.1824994,999,-1,1,-1,4
40,1392341498,43.036483,-76.1337537,100000,13,1,-1,4
40,1098650421,43.0337758,-76.1297989,100000,41,1,-1,4
40,824628078,43.0378098,-76.1348327,100000,13,1,-1,4
40,944723275,43.0345123,-76.1392384,100000,13,1,-1,4
40,1021262212,43.0348838,-76.1287506,100000,41,1,-1,4
40,311671460,43.0764377,-76.1701727,100000,1,1,-1,4
40,2141650363,43.0360588,-76.134645,100000,13,1,-1,4
40,1692686749,43.0334883,-76.125586,100000,41,1,-1,4
40,1207601045,43.035452,-76.133542,100000,13,1,-1,4
41,1207601045,43.0352935,-76.133496,100000,13,1,-1,4
41,1437054809,43.048625,-76.2566585,999,-1,1,-1,4
41,944723275,43.0344333,-76.1394312,100000,13,1,-1,4
41,311671460,43.0762999,-76.1700563,100000,1,1,-1,4
41,1692686749,43.0333734,-76.1254303,100000,41,1,-1,4
41,1156754727,43.0762026,-76.1747302,100000,1,1,-1,4
41,417890504,43.0751092,-76.1802935,999,-1,1,-1,4
41,1733441715,43.0437207,-76.257681,999,-1,1,-1,4
41,824628078,43.0377279,-76.1350233,100000,13,1,-1,4
41,1403992886,43.0310059,-76.0547449,100000,43,1,-1,4
41,1883671650,43.0751034,-76.1813892,999,-1,1,-1,4
41,968896511,43.0333373,-76.1319672,100000,13,1,-1,4
41,1582409757,43.0498047,-76.2368906,100000,22,1,-1,4
41,1372665589,43.0718373,-76.1825041,999,-1,1,-1,4
41,1021262212,43.0347696,-76.1285939,100000,41,1,-1,4
41,1392341498,43.0364185,-76.1339563,100000,13,1,-1,4
41,1098650421,43.0336176,-76.1297508,100000,13,1,-1,4
41,2141650363,43.0358968,-76.1346421,100000,13,1,-1,4
41,1559683730,43.0355198,-76.1386672,100000,13,1,-1,4
